"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4394","test_register_with_duplicate_fields","tests","Sun Sep 28 17:26:09 IST 2025","passed","Sun Sep 28 17:26:13 IST 2025","TestRegister","test_register","",""
"","2503","test_register_with_all_fields_except_email","tests","Sun Sep 28 17:25:49 IST 2025","passed","Sun Sep 28 17:25:52 IST 2025","TestRegister","test_register","",""
"","597","test_search_with_valid_input","tests","Sun Sep 28 17:24:33 IST 2025","passed","Sun Sep 28 17:24:34 IST 2025","TestSearch","test_Search","",""
"","491","test_search_with_blank_input","tests","Sun Sep 28 17:24:49 IST 2025","passed","Sun Sep 28 17:24:50 IST 2025","TestSearch","test_Search","",""
"","2169","test_register_with_all_fields","tests","Sun Sep 28 17:25:42 IST 2025","passed","Sun Sep 28 17:25:44 IST 2025","TestRegister","test_register","",""
"","463","test_search_with_Invalid_input","tests","Sun Sep 28 17:24:42 IST 2025","passed","Sun Sep 28 17:24:43 IST 2025","TestSearch","test_Search","",""
"","1917","test_register_with_blank_fields","tests","Sun Sep 28 17:25:58 IST 2025","passed","Sun Sep 28 17:26:00 IST 2025","TestRegister","test_register","",""
"","2463","test_login_with_blank_email_and_blank_password","tests","Sun Sep 28 17:25:24 IST 2025","passed","Sun Sep 28 17:25:27 IST 2025","TestLogin","test_login","",""
"","2633","test_register_with_mandatory_fields","tests","Sun Sep 28 17:25:33 IST 2025","passed","Sun Sep 28 17:25:35 IST 2025","TestRegister","test_register","",""
"","4626","test_login_with_valid_email_and_invalid_password","tests","Sun Sep 28 17:25:04 IST 2025","passed","Sun Sep 28 17:25:08 IST 2025","TestLogin","test_login","",""
"","2446","test_login_with_valid_email_and_password","tests","Sun Sep 28 17:24:56 IST 2025","passed","Sun Sep 28 17:24:58 IST 2025","TestLogin","test_login","",""
"","2518","test_login_with_Invalid_email_and_Valid_password","tests","Sun Sep 28 17:25:15 IST 2025","failed","Sun Sep 28 17:25:17 IST 2025","TestLogin","test_login","",""
